"url	page	""page without timeline""	date"
"https://www.ut.ee/et	http://wayback.archive.org/web/20120925084432id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20120925084432/http://www.ut.ee:80/et	20120925084432"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121001065521id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20121001065521/http://www.ut.ee:80/et	20121001065521"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121011092447id_/http://www.ut.ee/et	http://wayback.archive.org/web/20121011092447/http://www.ut.ee/et	20121011092447"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121014132410id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20121014132410/http://www.ut.ee:80/et	20121014132410"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121015081632id_/http://www.ut.ee/et	http://wayback.archive.org/web/20121015081632/http://www.ut.ee/et	20121015081632"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121020074423id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20121020074423/http://www.ut.ee:80/et	20121020074423"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121026082116id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20121026082116/http://www.ut.ee:80/et	20121026082116"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121102100102id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20121102100102/http://www.ut.ee:80/et	20121102100102"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121111023322id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20121111023322/http://www.ut.ee:80/et	20121111023322"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121118132530id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20121118132530/http://www.ut.ee:80/et	20121118132530"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121120071126id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20121120071126/http://www.ut.ee:80/et	20121120071126"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121126033146id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20121126033146/http://www.ut.ee:80/et	20121126033146"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121205051822id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20121205051822/http://www.ut.ee:80/et	20121205051822"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121215092657id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20121215092657/http://www.ut.ee:80/et	20121215092657"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121221225904id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20121221225904/http://www.ut.ee:80/et	20121221225904"
"https://www.ut.ee/et	http://wayback.archive.org/web/20121228121042id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20121228121042/http://www.ut.ee:80/et	20121228121042"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130104183838id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130104183838/http://www.ut.ee:80/et	20130104183838"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130112041250id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130112041250/http://www.ut.ee:80/et	20130112041250"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130118052633id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130118052633/http://www.ut.ee:80/et	20130118052633"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130125122508id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130125122508/http://www.ut.ee:80/et	20130125122508"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130128192649id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130128192649/http://www.ut.ee:80/et	20130128192649"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130201135909id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130201135909/http://www.ut.ee:80/et	20130201135909"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130208045405id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130208045405/http://www.ut.ee:80/et	20130208045405"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130209023213id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130209023213/http://www.ut.ee:80/et	20130209023213"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130211114449id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130211114449/http://www.ut.ee:80/et	20130211114449"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130216210600id_/http://www.ut.ee/et	http://wayback.archive.org/web/20130216210600/http://www.ut.ee/et	20130216210600"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130218164121id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130218164121/http://www.ut.ee:80/et	20130218164121"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130304164109id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130304164109/http://www.ut.ee:80/et	20130304164109"
